Timestamp (s),Key Code,Analog Value (0.0-1.0)
10.2436,17,0.441
10.2436,25,0.077
10.2463,5,1.0
10.2463,17,0.43
10.2489,5,1.0
10.2489,17,0.429
10.2515,5,1.0
10.2515,17,0.429
10.2541,5,1.0
10.2541,17,0.45
10.2567,5,1.0
10.2567,17,0.471
10.2593,5,1.0
10.2593,17,0.526
10.2619,5,1.0
10.2619,17,0.567
10.2645,5,1.0
10.2645,17,0.667
10.2671,5,1.0
10.2671,17,0.775
10.2697,5,1.0
10.2697,17,0.84
10.2723,5,1.0
10.2723,17,0.972
10.2749,5,1.0
10.2749,17,1.0
10.2775,5,1.0
10.2775,17,1.0
10.2801,5,1.0
10.2801,17,1.0
10.2827,5,0.981
10.2827,17,1.0
10.2853,5,0.95
10.2853,17,1.0
10.2879,5,0.869
10.2879,17,1.0
10.2905,5,0.818
10.2905,17,1.0
10.2931,5,0.689
10.2931,17,1.0
10.2958,5,0.526
10.2958,17,1.0
10.2983,5,0.438
10.2983,17,1.0
10.301,5,0.252
10.301,17,1.0
10.3035,5,0.152
10.3035,17,1.0
10.3061,17,1.0
10.3087,17,1.0
10.3113,17,1.0
10.3139,17,1.0
10.3165,17,1.0
10.319,17,1.0
10.3216,17,1.0
10.3242,17,1.0
10.3268,17,1.0
10.3294,17,1.0
10.332,17,1.0
10.3346,17,1.0
10.3372,17,1.0
10.3399,17,1.0
10.3425,17,1.0
10.3451,17,1.0
10.3477,17,0.996
10.3503,17,0.954
10.3529,17,0.875
10.3555,17,0.825
10.3581,17,0.704
10.3606,17,0.559
10.3632,17,0.413
10.3658,17,0.27
10.3685,17,0.204
10.3711,17,0.065
10.8854,17,0.262
10.888,17,0.822
10.8903,17,1.0
10.8929,17,1.0
10.8956,17,1.0
10.8982,17,1.0
10.9008,17,1.0
10.9033,17,1.0
10.9059,17,1.0
10.9085,17,1.0
10.9111,17,1.0
10.9136,17,1.0
10.9162,17,1.0
10.9188,17,1.0
10.9214,17,1.0
10.924,17,1.0
10.9265,17,1.0
10.9291,17,1.0
10.9317,17,1.0
10.9342,17,1.0
10.9368,17,1.0
10.9394,17,0.995
10.942,17,0.942
10.9446,17,0.901
10.9472,17,0.783
10.9499,17,0.624
10.9524,17,0.406
10.955,17,0.132
10.9898,5,0.206
10.9924,5,0.717
10.9949,5,1.0
10.9976,5,1.0
11.0001,5,1.0
11.0001,25,0.109
11.0027,5,1.0
11.0027,25,0.33
11.0053,5,1.0
11.0053,25,0.666
11.0079,5,1.0
11.0079,25,0.785
11.0105,5,1.0
11.0105,25,0.963
11.0131,5,1.0
11.0131,25,1.0
11.0156,5,1.0
11.0156,25,1.0
11.0182,5,1.0
11.0182,25,1.0
11.0206,5,1.0
11.0206,25,0.97
11.0231,5,1.0
11.0231,25,0.884
11.0258,5,1.0
11.0258,25,0.772
11.0283,5,1.0
11.0283,25,0.709
11.0309,5,1.0
11.0309,25,0.581
11.0336,5,1.0
11.0336,25,0.516
11.0363,5,1.0
11.0363,25,0.392
11.039,5,1.0
11.039,25,0.286
11.0415,5,1.0
11.0415,25,0.233
11.0442,5,1.0
11.0442,25,0.184
11.047,5,1.0
11.047,25,0.082
11.0495,5,1.0
11.0495,25,0.034
11.0521,5,1.0
11.0547,5,0.936
11.0547,17,0.156
11.0573,5,0.836
11.0573,17,0.843
11.0599,5,0.772
11.0599,17,1.0
11.0625,5,0.625
11.0625,17,1.0
11.0651,5,0.546
11.0651,17,1.0
11.0677,5,0.382
11.0677,17,1.0
11.0698,5,0.308
11.0698,17,1.0
11.0725,5,0.148
11.0725,17,1.0
11.0751,5,0.064
11.0751,17,1.0
11.0775,17,1.0
11.0799,17,1.0
11.0825,17,1.0
11.085,17,1.0
11.0876,17,1.0
11.0903,17,1.0
11.0929,17,1.0
11.0955,17,1.0
11.098,17,1.0
11.1006,17,1.0
11.1032,17,1.0
11.1058,17,1.0
11.1083,17,1.0
11.1109,17,1.0
11.1135,17,1.0
11.1161,17,1.0
11.1187,17,1.0
11.1213,17,1.0
11.1239,17,1.0
11.1265,17,1.0
11.1291,17,1.0
11.1316,5,0.028
11.1316,17,1.0
11.1316,25,0.265
11.1343,5,0.165
11.1343,17,1.0
11.1343,25,0.43
11.1368,5,0.404
11.1368,17,0.989
11.1368,25,0.759
11.1394,5,0.521
11.1394,17,0.96
11.1394,25,0.932
11.142,5,0.748
11.142,17,0.835
11.142,25,1.0
11.1446,5,0.862
11.1446,17,0.749
11.1446,25,1.0
11.1472,5,0.973
11.1472,17,0.666
11.1472,25,1.0
11.1494,5,1.0
11.1494,17,0.582
11.1494,25,1.0
11.1516,5,1.0
11.1516,17,0.498
11.1516,25,1.0
11.1538,5,1.0
11.1538,17,0.326
11.1538,25,1.0
11.1563,5,1.0
11.1563,17,0.227
11.1563,25,1.0
11.159,5,1.0
11.159,25,1.0
11.1612,5,1.0
11.1612,25,1.0
11.1638,5,1.0
11.1638,25,1.0
11.1665,5,1.0
11.1665,25,1.0
11.1691,5,1.0
11.1691,25,1.0
11.1718,5,1.0
11.1718,25,1.0
11.1741,5,1.0
11.1741,25,1.0
11.1767,5,1.0
11.1767,25,1.0
11.1793,5,1.0
11.1793,25,1.0
11.182,5,1.0
11.182,25,1.0
11.1846,5,1.0
11.1846,25,1.0
11.1872,5,1.0
11.1872,25,1.0
11.1898,5,1.0
11.1898,25,1.0
11.1923,5,1.0
11.1923,25,1.0
11.1949,5,1.0
11.1949,17,0.03
11.1949,25,1.0
11.1949,44,0.043
11.1975,5,1.0
11.1975,17,0.109
11.1975,25,1.0
11.1975,44,0.066
11.2001,5,0.986
11.2001,17,0.206
11.2001,25,1.0
11.2001,44,0.072
11.2027,5,0.917
11.2027,17,0.388
11.2027,25,1.0
11.2027,44,0.077
11.2051,5,0.867
11.2051,17,0.515
11.2051,25,1.0
11.2051,44,0.083
11.2077,5,0.806
11.2077,17,0.669
11.2077,25,1.0
11.2077,44,0.083
11.2103,5,0.732
11.2103,17,0.84
11.2103,25,1.0
11.2103,44,0.083
11.2129,5,0.547
11.2129,17,1.0
11.2129,25,1.0
